User,Community_ID,User_type
dorokhov,0,leader
daneliya,0,agent
id54927,0,agent
id5037,0,agent
kseyas,0,agent
artemenko,0,agent
id7373,0,agent
olga.silina,0,agent
nikita.kalinin,0,agent
taniaprudnikova,0,agent
id7189,0,agent
ay,0,agent
burunduk3,0,agent
d.butikova,0,agent
vital,0,agent
id1218,0,agent
aobogatov,0,agent
burunduk1,0,agent
id1091,0,agent
sammarize,0,agent
id2619,0,agent
andrewnovoselsky,0,agent
tihiy,0,agent
kopotilov,0,agent
kasyanov.vitaliy,0,agent
iasonov,0,agent
strangerars,0,agent
egorfilatov,0,agent
natalya,0,agent
petrova,0,agent
septembreange,0,agent
philippov,0,agent
nikter,0,agent
fedorpetrov,0,follower
amosov,0,follower
z.vasilisa,0,follower
aalexeevru,0,follower
kapnov,0,follower
vyahhi,0,follower
ivankozlov,0,follower
quasikva,0,follower
mnbvc,0,follower
isvetlo,0,follower
d.b.romanova,0,follower
id710,0,follower
ok,0,follower
litviak,0,follower
golikova,0,follower
kapulkin,0,follower
artemkorenevsky,0,follower
tanushka,0,follower
fedor.tsarev,0,follower
id26400,0,follower
egor,0,follower
id29580,0,follower
valent,0,follower
annaslo,0,follower
id56820,0,follower
nuidela,0,follower
shmakov,0,follower
stopmosk,0,follower
djack,0,follower
zilberburg,0,follower
novic,0,follower
id30380,0,follower
vsevolod.vlasov,0,follower
id1675850,0,follower
vinni,0,follower
fotoruna1,0,follower
yurismirnov,0,follower
id533,0,follower
valentinvd,0,follower
georgemavchun,0,follower
id34,0,follower
pavel.fedotov,0,follower
alexdpi,0,follower
dmitry.antipov,0,follower
digitalfarseer,0,follower
andrew,0,follower
id212,0,follower
elnara,0,follower
pavelsinicin,1,leader
ruslan1,1,leader
rozo4kina,1,leader
irinazinger,1,leader
id406,1,agent
chernyshev,1,agent
zoyaskobeltsyna,1,agent
anonskinonoch,1,agent
seregapavlenko,1,agent
rostovastar,1,agent
rafkat,1,agent
misenko,1,agent
vzstyle,1,agent
mariaokuneva,1,agent
s.semanina,1,agent
weddingphoto,1,agent
e.islamov,1,agent
impala64,1,agent
romanmedvedev,1,agent
nikolalazarev,1,agent
igormalakhov,1,agent
id299814,1,agent
maximnikitin007,1,agent
fotokubstudio,1,agent
id81681113,1,agent
prokat,1,agent
o.polyakova,1,agent
cocktailproject,1,agent
nikolaygradov,1,agent
semanin,1,agent
esinsky,1,agent
id7171915,1,agent
belyiae,1,agent
adini,1,agent
vera1892,1,agent
skypointstudio,1,agent
sinart,1,agent
alexandr.mishchenko,1,agent
artyyyyyyyyy,1,agent
vasiluk,1,agent
lauritaiynbor,1,agent
